question,document
How many days of paid annual leave am I entitled to take?,README.md
Is there a budget available to help me purchase extra equipment for my home office?,README.md
How often does the company conduct salary reviews for employees?,README.md
What is the best way for me to suggest an update or report a typo in this handbook?,README.md
Can I get financial help from the company to buy a bike for my commute?,README.md
Are there any limits on how many times I can speak with a doctor through the app?,benefits/Unum_Help_at_hand.md
Can I use this benefit to get some help with my mental health through a therapist?,benefits/Unum_Help_at_hand.md
What is the process for setting up my account and logging into the platform?,benefits/Unum_Help_at_hand.md
Does this service cover sessions for physical therapy or should I go elsewhere?,benefits/Unum_Help_at_hand.md
Is it possible to consult with a different specialist if I need a second opinion on a medical issue?,benefits/Unum_Help_at_hand.md
What is the maximum amount I can spend on a new bike through the scheme?,benefits/cycle_to_work_scheme.md
Can I use the cycle scheme if I only want to pick up some new accessories instead of a whole bike?,benefits/cycle_to_work_scheme.md
What happens to the remaining balance if I decide to leave the company before my 12 month payment period is up?,benefits/cycle_to_work_scheme.md
Are these bikes only for my personal use or am I allowed to pick one up for a family member?,benefits/cycle_to_work_scheme.md
"If I want to change the amount I applied for, is it possible to edit my request after it has been submitted?",benefits/cycle_to_work_scheme.md
How much lead time should I give the company before switching to a part-time schedule?,benefits/flexible_working.md
Will my bonus pay get adjusted if I decide to work fewer days?,benefits/flexible_working.md
Does my pension contribution change automatically if I decide to lower my total hours?,benefits/flexible_working.md
Is there a test phase for my new schedule before it becomes official?,benefits/flexible_working.md
Am I allowed to condense my full-time hours into fewer days instead of reducing them?,benefits/flexible_working.md
Who is responsible for setting up our monthly get-togethers?,benefits/getting_together.md
Should I contact someone specific if I want to help plan our social events?,benefits/getting_together.md
Where should I send my ideas for new team activities?,benefits/getting_together.md
What is the main goal behind hosting those big biannual parties?,benefits/getting_together.md
How does the company handle alcohol at events to ensure everyone feels comfortable?,benefits/getting_together.md
Where can I look to learn about the best practices for staying secure when using AI tools?,guides/ai/start_here.md
"If I know of an AI resource that is missing from this list, how can I contribute?",guides/ai/start_here.md
Which Slack channels should I join if I want to connect with other people interested in AI?,guides/ai/start_here.md
Where can I find instructions on how to get the Claude API configured for my personal work?,guides/ai/start_here.md
Are there specific training materials or structured learning paths available for technical architecture?,guides/ai/start_here.md
What is the maximum amount I can spend on new gadgets through the TechScheme?,benefits/help_to_buy_tech.md
How long do I have to pay back the cost of the items I bought?,benefits/help_to_buy_tech.md
Where exactly can I find the employer code I need to start my application?,benefits/help_to_buy_tech.md
"If I decide to quit my job, how does that affect the money I still owe for my tech?",benefits/help_to_buy_tech.md
Do I actually own the devices I buy or does the company keep them until I finish payments?,benefits/help_to_buy_tech.md
How many days should I be heading into the office each month if I'm not client-facing?,benefits/hybrid_working.md
"If I want to work from a coffee shop, what should I keep in mind regarding security and sensitive info?",benefits/hybrid_working.md
Can I claim travel expenses if I'm commuting to my designated regional office?,benefits/hybrid_working.md
What's the process for getting approval to work from another country for a couple of weeks?,benefits/hybrid_working.md
Who should I talk to if I have personal reasons that make coming into the office difficult?,benefits/hybrid_working.md
What percentage of my pay will I get if I'm too sick to work?,benefits/income_protection_and_life_insurance.md
How long do I have to wait before the disability payments kick in?,benefits/income_protection_and_life_insurance.md
Who actually decides if my health situation qualifies for these benefits?,benefits/income_protection_and_life_insurance.md
Is there a limit on how long the disability coverage lasts?,benefits/income_protection_and_life_insurance.md
How much money would my family receive if I passed away while employed?,benefits/income_protection_and_life_insurance.md
How exactly do I get picked for the free monthly team meals?,benefits/lunchers.md
Is it possible to expense my food if my name wasn't on the list?,benefits/lunchers.md
What should I do if I get picked but can't actually make it that day?,benefits/lunchers.md
Where can I find the specific dates for when these group meals are happening?,benefits/lunchers.md
Who should I reach out to if I need more details about the lunch program?,benefits/lunchers.md
How do I change how much I put into my pension pot?,benefits/pension_scheme.md
Is there a way to start my pension contributions before the three-month waiting period ends?,benefits/pension_scheme.md
Does the company match my payments regardless of my grade level?,benefits/pension_scheme.md
"If I decide to stop being part of the scheme, how do I go about opting out?",benefits/pension_scheme.md
Are there any limits on how much I can contribute from my paycheck each month?,benefits/pension_scheme.md
Who should I reach out to if I run into any issues during my first few weeks here?,company/welcome_pack.md
How often will I be sitting down with my manager to discuss how I'm doing and my future growth?,company/welcome_pack.md
"Am I expected to participate in the Friday showcases right away, or should I wait until I'm more settled?",company/welcome_pack.md
Where exactly can I find the checklist of tasks I need to complete for my orientation?,company/welcome_pack.md
Are there specific security settings or tools I need to have enabled for the accounts I'm using?,company/welcome_pack.md
Which staff levels are eligible to sign up for the BUPA medical coverage?,benefits/private_medical_insurance.md
Is the private insurance plan considered a taxable perk by the tax office?,benefits/private_medical_insurance.md
Do I need to report this health insurance benefit on my P11D form?,benefits/private_medical_insurance.md
Does the medical policy handle the full process from initial diagnosis to the actual treatment?,benefits/private_medical_insurance.md
Are employees below the Lead or Principal grade allowed to opt into the private healthcare scheme?,benefits/private_medical_insurance.md
Can I apply for a travel loan right after I start working here?,benefits/season_ticket_loan.md
Is there a limit on how much money the company will lend me for my commute?,benefits/season_ticket_loan.md
Do I have to pay any extra fees or interest on this loan?,benefits/season_ticket_loan.md
What happens to the remaining balance if I decide to quit before it is fully paid off?,benefits/season_ticket_loan.md
What kind of proof do I need to show the office to get this approved?,benefits/season_ticket_loan.md
How many days of leave do we get each year including bank holidays?,benefits/taking_holiday.md
"Can I take more than four weeks off at once, and is it paid?",benefits/taking_holiday.md
What is the minimum notice I need to give if I want to take three weeks off?,benefits/taking_holiday.md
Who exactly do I need to clear my time off with before I book it in the system?,benefits/taking_holiday.md
Do I have to use my holiday allowance for the days between Christmas and New Year?,benefits/taking_holiday.md
Do I have to spend the full 250 pound allowance at once or can I save some of it for later?,benefits/work_ready.md
Is it mandatory to finish the iHASCO training before I am allowed to buy anything for my workspace?,benefits/work_ready.md
What should I do if I am not totally sure if a specific piece of gear is allowed under the policy?,benefits/work_ready.md
"If I decide to buy something with my own money, which platform do I use to claim the money back?",benefits/work_ready.md
Why are we not allowed to keep the virtual card as a saved payment method on shopping sites?,benefits/work_ready.md
Who actually suggested we read this EDGE book?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md
