question,expected_document,hit,correct_rank,top_result,returned_paths,method
How many days of paid annual leave am I entitled to take?,README.md,0,,benefits/taking_holiday.md,"[""benefits/taking_holiday.md"", ""benefits/flexible_working.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/welfare/sick_leave.md"", ""benefits/income_protection_and_life_insurance.md""]",vector
Is there a budget available to help me purchase extra equipment for my home office?,README.md,0,,benefits/work_ready.md,"[""benefits/work_ready.md"", ""guides/compensation/expenses.md"", ""guides/compensation/expenses/eyetest.md"", ""guides/it/Hardware.md"", ""benefits/cycle_to_work_scheme.md""]",vector
How often does the company conduct salary reviews for employees?,README.md,0,,guides/compensation/salary_reviews.md,"[""guides/compensation/salary_reviews.md"", ""guides/line-management/annual_reviews.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/line-management/121s.md"", ""roles/delivery_support_analyst.md""]",vector
What is the best way for me to suggest an update or report a typo in this handbook?,README.md,0,,guides/contributing_to_the_handbook.md,"[""guides/contributing_to_the_handbook.md"", ""team-norms/development_practices.md"", ""team-norms/delivery_healthcheck.md"", ""guides/welfare/raising_an_issue.md"", ""team-norms/README.md""]",vector
Can I get financial help from the company to buy a bike for my commute?,README.md,0,,benefits/cycle_to_work_scheme.md,"[""benefits/cycle_to_work_scheme.md"", ""guides/compensation/expenses.md"", ""benefits/work_ready.md"", ""benefits/help_to_buy_tech.md"", ""guides/welfare/paid_counselling.md""]",vector
Are there any limits on how many times I can speak with a doctor through the app?,benefits/Unum_Help_at_hand.md,1,1.0,benefits/Unum_Help_at_hand.md,"[""benefits/Unum_Help_at_hand.md"", ""guides/line-management/121s.md"", ""guides/welfare/dse_hs_training.md"", ""guides/jury_service.md"", ""guides/process/people/capability_procedure.md""]",vector
Can I use this benefit to get some help with my mental health through a therapist?,benefits/Unum_Help_at_hand.md,1,1.0,benefits/Unum_Help_at_hand.md,"[""benefits/Unum_Help_at_hand.md"", ""guides/welfare/paid_counselling.md"", ""guides/welfare/sick_leave.md"", ""guides/welfare/state_of_mind.md"", ""benefits/income_protection_and_life_insurance.md""]",vector
What is the process for setting up my account and logging into the platform?,benefits/Unum_Help_at_hand.md,0,,guides/cloud/aws_sandbox.md,"[""guides/cloud/aws_sandbox.md"", ""guides/onboarding.md"", ""roles/senior_application_support_engineer.md"", ""guides/it/docker.md"", ""guides/security/device_profiles.md""]",vector
Does this service cover sessions for physical therapy or should I go elsewhere?,benefits/Unum_Help_at_hand.md,1,1.0,benefits/Unum_Help_at_hand.md,"[""benefits/Unum_Help_at_hand.md"", ""guides/welfare/paid_counselling.md"", ""guides/welfare/dse_hs_training.md"", ""roles/practice_head_application_platform_support.md"", ""guides/line-management/121s.md""]",vector
Is it possible to consult with a different specialist if I need a second opinion on a medical issue?,benefits/Unum_Help_at_hand.md,1,1.0,benefits/Unum_Help_at_hand.md,"[""benefits/Unum_Help_at_hand.md"", ""guides/welfare/expectation_health_check.md"", ""guides/process/people/capability_procedure.md"", ""benefits/private_medical_insurance.md"", ""guides/welfare/raising_an_issue.md""]",vector
What is the maximum amount I can spend on a new bike through the scheme?,benefits/cycle_to_work_scheme.md,1,1.0,benefits/cycle_to_work_scheme.md,"[""benefits/cycle_to_work_scheme.md"", ""benefits/help_to_buy_tech.md"", ""benefits/work_ready.md"", ""guides/compensation/expenses.md"", ""benefits/income_protection_and_life_insurance.md""]",vector
Can I use the cycle scheme if I only want to pick up some new accessories instead of a whole bike?,benefits/cycle_to_work_scheme.md,1,1.0,benefits/cycle_to_work_scheme.md,"[""benefits/cycle_to_work_scheme.md"", ""benefits/help_to_buy_tech.md"", ""benefits/work_ready.md"", ""guides/welfare/leave-and-time-off.md"", ""guides/compensation/expenses.md""]",vector
What happens to the remaining balance if I decide to leave the company before my 12 month payment period is up?,benefits/cycle_to_work_scheme.md,0,,guides/compensation/salary_pay_slips.md,"[""guides/compensation/salary_pay_slips.md"", ""benefits/season_ticket_loan.md"", ""guides/line-management/probation.md"", ""guides/jury_service.md"", ""benefits/taking_holiday.md""]",vector
Are these bikes only for my personal use or am I allowed to pick one up for a family member?,benefits/cycle_to_work_scheme.md,1,1.0,benefits/cycle_to_work_scheme.md,"[""benefits/cycle_to_work_scheme.md"", ""guides/security/acceptable_use_policy.md"", ""guides/equality-diversity-and-inclusion/about-open-and-closed-community.md"", ""benefits/work_ready.md"", ""benefits/getting_together.md""]",vector
"If I want to change the amount I applied for, is it possible to edit my request after it has been submitted?",benefits/cycle_to_work_scheme.md,0,,guides/compensation/salary_reviews.md,"[""guides/compensation/salary_reviews.md"", ""guides/Relocation.md"", ""benefits/season_ticket_loan.md"", ""benefits/pension_scheme.md"", ""guides/process/scheduling/hiring_contractors.md""]",vector
How much lead time should I give the company before switching to a part-time schedule?,benefits/flexible_working.md,1,4.0,guides/chalet_time_policy.md,"[""guides/chalet_time_policy.md"", ""guides/process/scheduling/how_scheduling_works.md"", ""guides/welfare/leave-and-time-off.md"", ""benefits/flexible_working.md"", ""benefits/taking_holiday.md""]",vector
Will my bonus pay get adjusted if I decide to work fewer days?,benefits/flexible_working.md,1,2.0,guides/compensation/salary_pay_slips.md,"[""guides/compensation/salary_pay_slips.md"", ""benefits/flexible_working.md"", ""guides/compensation/salary_reviews.md"", ""benefits/taking_holiday.md"", ""guides/jury_service.md""]",vector
Does my pension contribution change automatically if I decide to lower my total hours?,benefits/flexible_working.md,1,3.0,benefits/pension_scheme.md,"[""benefits/pension_scheme.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/flexible_working.md"", ""guides/compensation/salary_reviews.md"", ""benefits/income_protection_and_life_insurance.md""]",vector
Is there a test phase for my new schedule before it becomes official?,benefits/flexible_working.md,0,,guides/process/scheduling/how_scheduling_works.md,"[""guides/process/scheduling/how_scheduling_works.md"", ""guides/jury_service.md"", ""team-norms/delivery_healthcheck.md"", ""guides/onboarding.md"", ""guides/compensation/salary_pay_slips.md""]",vector
Am I allowed to condense my full-time hours into fewer days instead of reducing them?,benefits/flexible_working.md,1,1.0,benefits/flexible_working.md,"[""benefits/flexible_working.md"", ""benefits/taking_holiday.md"", ""guides/welfare/leave-and-time-off.md"", ""guides/jury_service.md"", ""guides/welfare/sick_leave.md""]",vector
Who is responsible for setting up our monthly get-togethers?,benefits/getting_together.md,1,1.0,benefits/getting_together.md,"[""benefits/getting_together.md"", ""benefits/lunchers.md"", ""guides/office/kitchen.md"", ""benefits/hybrid_working.md"", ""guides/process/scheduling/how_scheduling_works.md""]",vector
Should I contact someone specific if I want to help plan our social events?,benefits/getting_together.md,1,1.0,benefits/getting_together.md,"[""benefits/getting_together.md"", ""guides/welfare/raising_an_issue.md"", ""benefits/lunchers.md"", ""guides/buddy_guidance.md"", ""guides/mentorship/mentors/README.md""]",vector
Where should I send my ideas for new team activities?,benefits/getting_together.md,1,1.0,benefits/getting_together.md,"[""benefits/getting_together.md"", ""team-norms/principles.md"", ""guides/buddy_guidance.md"", ""benefits/hybrid_working.md"", ""team-norms/development_practices.md""]",vector
What is the main goal behind hosting those big biannual parties?,benefits/getting_together.md,1,1.0,benefits/getting_together.md,"[""benefits/getting_together.md"", ""benefits/hybrid_working.md"", ""team-norms/principles.md"", ""guides/hiring/career_fairs.md"", ""roles/head_of_service_line.md""]",vector
How does the company handle alcohol at events to ensure everyone feels comfortable?,benefits/getting_together.md,1,2.0,guides/office/kitchen.md,"[""guides/office/kitchen.md"", ""benefits/getting_together.md"", ""guides/security/office_visitors.md"", ""guides/process/people/capability_procedure.md"", ""guides/welfare/leave-and-time-off.md""]",vector
